test_id,rows,cols,obstacle_prob,found_path,path_length,nodes_expanded,time_sec
1,20,20,0.25,yes,39,170,0.019402
2,20,20,0.25,yes,39,124,0.014565
3,20,20,0.25,no,0,5,0.000323
4,20,20,0.25,yes,39,174,0.01616
5,20,20,0.25,yes,39,144,0.013015
6,20,20,0.25,yes,39,115,0.012831
7,20,20,0.25,yes,39,140,0.015057
8,20,20,0.25,yes,39,86,0.008696
9,20,20,0.25,yes,39,211,0.020579
10,20,20,0.25,no,0,8,0.000577
11,20,20,0.25,yes,39,152,0.015277
12,20,20,0.25,yes,39,124,0.012225
13,20,20,0.25,no,0,1,6e-05
14,20,20,0.25,yes,39,122,0.011786
15,20,20,0.25,yes,39,107,0.010699
16,20,20,0.25,no,0,3,0.000242
17,20,20,0.25,yes,39,133,0.013391
18,20,20,0.25,no,0,22,0.001655
19,20,20,0.25,yes,39,117,0.011068
20,20,20,0.25,no,0,1,4e-05
21,20,20,0.25,yes,43,124,0.011001
22,20,20,0.25,yes,39,155,0.015516
23,20,20,0.25,no,0,3,0.000173
24,20,20,0.25,no,0,21,0.001557
25,20,20,0.25,yes,39,122,0.011539
26,20,20,0.25,yes,39,145,0.013549
27,20,20,0.25,yes,39,120,0.072601
28,20,20,0.25,yes,39,107,0.009873
29,20,20,0.25,yes,39,107,0.009866
30,20,20,0.25,no,0,304,0.029183
31,20,20,0.25,no,0,261,0.030217
32,20,20,0.25,no,0,300,0.025181
33,20,20,0.25,yes,39,153,0.017726
34,20,20,0.25,no,0,2,0.000118
35,20,20,0.25,no,0,288,0.024649
36,20,20,0.25,yes,39,145,0.015872
37,20,20,0.25,yes,39,102,0.010282
38,20,20,0.25,yes,39,86,0.008159
39,20,20,0.25,no,0,285,0.023444
40,20,20,0.25,no,0,282,0.027025
41,20,20,0.25,yes,39,163,0.017308
42,20,20,0.25,no,0,291,0.025508
43,20,20,0.25,yes,39,155,0.013634
44,20,20,0.25,yes,39,119,0.00994
45,20,20,0.25,yes,39,124,0.012127
46,20,20,0.25,yes,39,113,0.010568
47,20,20,0.25,yes,39,134,0.012178
48,20,20,0.25,yes,39,171,0.01535
49,20,20,0.25,yes,39,106,0.009262
50,20,20,0.25,yes,39,175,0.017579
