graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec
geo_50,1,astar,32,45,yes,2,2,6,5.9e-05
geo_50,1,bfs,32,45,yes,2,0,19,2.2e-05
geo_50,1,dfs,32,45,yes,2,0,1,4e-06
geo_50,1,astar,42,15,yes,3,3,17,0.000122
geo_50,1,bfs,42,15,yes,3,0,30,3.8e-05
geo_50,1,dfs,42,15,yes,9,0,8,1.1e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000255
geo_50,1,bfs,3,26,yes,9,0,50,7.8e-05
geo_50,1,dfs,3,26,yes,27,0,45,5.8e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000241
geo_50,1,bfs,3,26,yes,9,0,50,7e-05
geo_50,1,dfs,3,26,yes,27,0,45,3.3e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000246
geo_50,1,bfs,3,26,yes,9,0,50,6e-05
geo_50,1,dfs,3,26,yes,27,0,45,3.2e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000242
geo_50,1,bfs,3,26,yes,9,0,50,5.3e-05
geo_50,1,dfs,3,26,yes,27,0,45,4.4e-05
geo_50,1,astar,3,26,yes,9,12,49,0.00024
geo_50,1,bfs,3,26,yes,9,0,50,6.1e-05
geo_50,1,dfs,3,26,yes,27,0,45,4.8e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000249
geo_50,1,bfs,3,26,yes,9,0,50,6.3e-05
geo_50,1,dfs,3,26,yes,27,0,45,3.7e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000266
geo_50,1,bfs,3,26,yes,9,0,50,7.2e-05
geo_50,1,dfs,3,26,yes,27,0,45,3.2e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000278
geo_50,1,bfs,3,26,yes,9,0,50,4.6e-05
geo_50,1,dfs,3,26,yes,27,0,45,5.4e-05
geo_50,1,astar,3,26,yes,9,12,49,0.000255
geo_50,1,astar_manhattan,3,26,yes,9,12,49,0.000324
geo_50,1,astar_euclidean,3,26,yes,9,12,49,0.000371
geo_50,1,bfs,3,26,yes,9,0,50,5.3e-05
geo_50,1,dfs,3,26,yes,27,0,45,6e-05
