graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec
gnk_50,1,astar,16,12,yes,4,5,13,0.000147
gnk_50,1,bfs,16,12,yes,3,0,47,4.1e-05
gnk_50,1,dfs,16,12,yes,25,0,24,2.5e-05
gnk_50,1,astar,13,23,yes,4,6,22,0.000224
gnk_50,1,bfs,13,23,yes,4,0,49,4.2e-05
gnk_50,1,dfs,13,23,yes,18,0,17,1.8e-05
gnk_50,1,astar,2,48,yes,5,15,48,0.000349
gnk_50,1,bfs,2,48,yes,5,0,50,4.4e-05
gnk_50,1,dfs,2,48,yes,20,0,19,1.7e-05
gnk_50,1,astar,3,34,yes,8,20,49,0.00037
gnk_50,1,bfs,3,34,yes,5,0,50,4.5e-05
gnk_50,1,dfs,3,34,yes,16,0,49,3.2e-05
gnk_50,1,astar,7,34,yes,4,16,49,0.000296
gnk_50,1,bfs,7,34,yes,4,0,50,4.3e-05
gnk_50,1,dfs,7,34,yes,36,0,38,2.9e-05
gnk_50,1,astar,6,39,yes,6,20,49,0.00032
gnk_50,1,bfs,6,39,yes,5,0,50,7.6e-05
gnk_50,1,dfs,6,39,yes,39,0,39,7.3e-05
gnk_50,1,astar,10,12,yes,5,19,49,0.000366
gnk_50,1,bfs,10,12,yes,5,0,50,5.8e-05
gnk_50,1,dfs,10,12,yes,15,0,14,1.3e-05
gnk_50,1,astar,12,41,yes,6,18,49,0.000354
gnk_50,1,bfs,12,41,yes,4,0,50,4.8e-05
gnk_50,1,dfs,12,41,yes,26,0,25,4.2e-05
gnk_50,1,astar,8,34,yes,4,17,49,0.000398
gnk_50,1,bfs,8,34,yes,4,0,50,6.1e-05
gnk_50,1,dfs,8,34,yes,25,0,24,4.4e-05
gnk_50,1,astar,39,40,yes,8,20,49,0.000357
gnk_50,1,astar_manhattan,39,40,yes,8,20,48,0.000587
gnk_50,1,astar_euclidean,39,40,yes,8,20,49,0.000542
gnk_50,1,bfs,39,40,yes,5,0,50,5.1e-05
gnk_50,1,dfs,39,40,yes,32,0,36,6.3e-05
