graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec
gnp_50,1,astar,15,27,yes,5,14,9,3.6e-05
gnp_50,1,bfs,15,27,yes,5,0,39,4.1e-05
gnp_50,1,dfs,15,27,yes,5,0,4,4e-06
gnp_50,1,astar,44,20,yes,6,8,13,9e-05
gnp_50,1,bfs,44,20,yes,5,0,46,3.3e-05
gnp_50,1,dfs,44,20,yes,8,0,46,2.2e-05
gnp_50,1,astar,12,47,yes,12,59,42,0.000115
gnp_50,1,bfs,12,47,yes,12,0,43,4.6e-05
gnp_50,1,dfs,12,47,yes,19,0,41,1.7e-05
gnp_50,1,astar,18,46,yes,12,60,46,0.000104
gnp_50,1,astar,3,38,yes,7,46,40,9e-05
gnp_50,1,bfs,3,38,yes,7,0,39,2.8e-05
gnp_50,1,dfs,3,38,yes,10,0,30,1.5e-05
gnp_50,1,astar,2,15,yes,13,55,45,9.5e-05
gnp_50,1,bfs,2,15,yes,11,0,46,4.6e-05
gnp_50,1,dfs,2,15,yes,15,0,41,1.7e-05
gnp_50,1,astar,30,47,yes,11,52,47,0.00013
gnp_50,1,bfs,30,47,yes,11,0,48,5.1e-05
gnp_50,1,dfs,30,47,yes,14,0,14,3.2e-05
gnp_50,1,astar,1,29,yes,13,65,41,9.4e-05
gnp_50,1,bfs,1,29,yes,13,0,42,4.7e-05
gnp_50,1,dfs,1,29,yes,28,0,37,1.8e-05
gnp_50,1,astar,21,30,yes,6,29,43,0.000131
gnp_50,1,bfs,21,30,yes,6,0,44,6.6e-05
gnp_50,1,dfs,21,30,yes,17,0,20,2.2e-05
gnp_50,1,astar,13,38,yes,14,75,43,8e-05
gnp_50,1,bfs,13,38,yes,14,0,43,3.3e-05
gnp_50,1,dfs,13,38,yes,25,0,34,4.2e-05
gnp_50,1,astar,5,47,yes,13,55,45,0.000151
gnp_50,1,astar_manhattan,5,47,yes,13,55,45,0.000232
gnp_50,1,astar_euclidean,5,47,yes,13,55,45,0.000235
gnp_50,1,bfs,5,47,yes,11,0,46,4e-05
gnp_50,1,dfs,5,47,yes,21,0,43,7.2e-05
