graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec
grid_10x10,1,astar,20,76,yes,12,41,65,0.000219
grid_10x10,1,bfs,20,76,yes,12,0,87,5.1e-05
grid_10x10,1,dfs,20,76,yes,30,0,31,1.9e-05
grid_10x10,1,astar,93,27,yes,12,29,60,0.000208
grid_10x10,1,bfs,93,27,yes,12,0,92,5.4e-05
grid_10x10,1,dfs,93,27,yes,56,0,61,2.7e-05
grid_10x10,1,astar,89,43,yes,11,35,57,0.000249
grid_10x10,1,bfs,89,43,yes,11,0,76,5.1e-05
grid_10x10,1,dfs,89,43,yes,53,0,53,2.5e-05
grid_10x10,1,astar,86,47,yes,8,21,29,0.000139
grid_10x10,1,bfs,86,47,yes,6,0,42,2.9e-05
grid_10x10,1,dfs,86,47,yes,32,0,32,1.8e-05
grid_10x10,1,astar,77,60,yes,9,27,54,0.00025
grid_10x10,1,bfs,77,60,yes,9,0,83,6.3e-05
grid_10x10,1,dfs,77,60,yes,41,0,50,3e-05
grid_10x10,1,astar,48,61,yes,10,24,56,0.000202
grid_10x10,1,bfs,48,61,yes,10,0,85,6.2e-05
grid_10x10,1,dfs,48,61,yes,34,0,41,2.4e-05
grid_10x10,1,astar,39,63,yes,12,50,83,0.000248
grid_10x10,1,bfs,39,63,yes,12,0,93,5.1e-05
grid_10x10,1,dfs,39,63,yes,64,0,67,2.9e-05
grid_10x10,1,astar,64,61,yes,6,28,52,0.000216
grid_10x10,1,bfs,64,61,yes,6,0,55,3.5e-05
grid_10x10,1,dfs,64,61,yes,28,0,33,1.9e-05
grid_10x10,1,astar,2,85,yes,12,36,65,0.000232
grid_10x10,1,bfs,2,85,yes,12,0,86,4.7e-05
grid_10x10,1,dfs,2,85,yes,26,0,28,1.8e-05
grid_10x10,1,astar,61,27,yes,11,49,77,0.000387
grid_10x10,1,bfs,61,27,yes,11,0,86,4.9e-05
grid_10x10,1,dfs,61,27,yes,39,0,39,2.2e-05
grid_10x10,1,astar,0,99,yes,19,76,99,0.000312
grid_10x10,1,bfs,0,99,yes,19,0,100,5.5e-05
grid_10x10,1,dfs,0,99,yes,21,0,20,1.5e-05
grid_10x10,1,astar,8,90,yes,18,70,99,0.00029
grid_10x10,1,bfs,8,90,yes,18,0,100,5.4e-05
grid_10x10,1,dfs,8,90,yes,20,0,19,1.3e-05
grid_10x10,1,astar,0,99,yes,19,64,99,0.000268
grid_10x10,1,bfs,0,99,yes,19,0,100,5.9e-05
grid_10x10,1,dfs,0,99,yes,19,0,18,1.4e-05
grid_10x10,1,astar,9,90,yes,19,77,98,0.000298
grid_10x10,1,bfs,9,90,yes,19,0,100,5.4e-05
grid_10x10,1,dfs,9,90,yes,19,0,18,1.3e-05
grid_10x10,1,astar,95,22,yes,11,31,59,0.000576
grid_10x10,1,bfs,95,22,yes,11,0,86,4.8e-05
grid_10x10,1,dfs,95,22,yes,61,0,73,6.2e-05
grid_10x10,1,astar,8,90,yes,20,76,99,0.00027
grid_10x10,1,bfs,8,90,yes,18,0,100,5.7e-05
grid_10x10,1,dfs,8,90,yes,36,0,36,5.2e-05
grid_10x10,1,astar,9,90,yes,19,78,99,0.000274
grid_10x10,1,bfs,9,90,yes,19,0,100,5.2e-05
grid_10x10,1,dfs,9,90,yes,25,0,24,1.5e-05
grid_10x10,1,astar,0,98,yes,20,65,99,0.000304
grid_10x10,1,bfs,0,98,yes,18,0,99,5.6e-05
grid_10x10,1,dfs,0,98,yes,22,0,26,1.6e-05
grid_10x10,1,astar,13,99,yes,17,81,99,0.000289
grid_10x10,1,bfs,13,99,yes,17,0,100,5.9e-05
grid_10x10,1,dfs,13,99,yes,21,0,20,2.8e-05
grid_10x10,1,astar,19,91,yes,21,66,99,0.000301
grid_10x10,1,astar,19,90,yes,18,76,99,0.000285
grid_10x10,1,astar,8,90,yes,18,75,99,0.000281
grid_10x10,1,astar_manhattan,8,90,yes,18,75,98,0.000322
grid_10x10,1,astar_euclidean,8,90,yes,18,75,98,0.00033
grid_10x10,1,bfs,8,90,yes,18,0,100,7.6e-05
grid_10x10,1,dfs,8,90,yes,28,0,27,3.5e-05
