graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
geo_100,1,astar_null,1,69,yes,9,12,99,0.001514,100,810,0.1636
geo_100,1,astar_manhattan,1,69,yes,9,12,99,0.001527,100,810,0.1636
geo_100,1,astar_euclidean,1,69,yes,9,12,99,0.001789,100,810,0.1636
geo_100,1,bfs,1,69,yes,7,0,100,6.5e-05,100,810,0.1636
geo_100,1,dfs,1,69,yes,50,0,49,6.3e-05,100,810,0.1636
geo_100,2,astar_null,6,69,yes,9,9,98,0.001512,100,795,0.1606
geo_100,2,astar_manhattan,6,69,yes,9,9,98,0.001635,100,795,0.1606
geo_100,2,astar_euclidean,6,69,yes,8,9,98,0.001837,100,795,0.1606
geo_100,2,bfs,6,69,yes,6,0,100,6.7e-05,100,795,0.1606
geo_100,2,dfs,6,69,yes,13,0,12,3.1e-05,100,795,0.1606
geo_100,3,astar_null,23,65,yes,9,12,99,0.001184,100,761,0.1537
geo_100,3,astar_manhattan,23,65,yes,10,12,99,0.001191,100,761,0.1537
geo_100,3,astar_euclidean,23,65,yes,10,12,99,0.001344,100,761,0.1537
geo_100,3,bfs,23,65,yes,8,0,100,6e-05,100,761,0.1537
geo_100,3,dfs,23,65,yes,45,0,44,5.9e-05,100,761,0.1537
