graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
grid_500,1,astar_null,154,263,yes,36,170,479,0.001899,484,734,0.0063
grid_500,1,astar_manhattan,154,263,yes,36,170,465,0.001912,484,734,0.0063
grid_500,1,astar_euclidean,154,263,yes,36,170,470,0.001881,484,734,0.0063
grid_500,1,bfs,154,263,yes,30,0,451,0.000131,484,734,0.0063
grid_500,1,dfs,154,263,yes,58,0,345,0.000131,484,734,0.0063
grid_500,2,astar_null,5,461,yes,43,186,483,0.001906,484,731,0.0063
grid_500,2,astar_manhattan,5,461,yes,43,186,483,0.001985,484,731,0.0063
grid_500,2,astar_euclidean,5,461,yes,43,186,483,0.00186,484,731,0.0063
grid_500,2,bfs,5,461,yes,41,0,484,0.000145,484,731,0.0063
grid_500,2,dfs,5,461,yes,55,0,55,2.7e-05,484,731,0.0063
grid_500,3,astar_null,1,483,yes,44,159,483,0.002194,484,739,0.0063
grid_500,3,astar_manhattan,1,483,yes,44,159,482,0.002317,484,739,0.0063
grid_500,3,astar_euclidean,1,483,yes,44,159,481,0.002232,484,739,0.0063
grid_500,3,bfs,1,483,yes,42,0,484,0.000167,484,739,0.0063
grid_500,3,dfs,1,483,yes,46,0,50,2.5e-05,484,739,0.0063
