trial,n_nodes,n_edges,algo,success,path_len,path_cost,nodes_expanded,time_sec
1,50,200,astar,yes,6,12,27,0.000173
1,50,200,bfs,yes,4,0,42,2.8e-05
1,50,200,dfs,yes,16,0,15,1.5e-05
2,50,200,astar,yes,4,16,34,0.000159
2,50,200,bfs,yes,4,0,43,1.4e-05
2,50,200,dfs,yes,21,0,20,1.3e-05
3,50,200,astar,yes,5,9,10,5e-05
3,50,200,bfs,yes,4,0,46,1.4e-05
3,50,200,dfs,yes,25,0,47,2e-05
4,50,200,astar,yes,4,18,37,0.000138
4,50,200,bfs,yes,4,0,47,1.4e-05
4,50,200,dfs,yes,4,0,3,3e-06
5,50,200,astar,yes,5,17,45,0.000232
5,50,200,bfs,yes,4,0,46,1.3e-05
5,50,200,dfs,yes,32,0,43,1.9e-05
1,100,400,astar,yes,6,19,54,0.000415
1,100,400,bfs,yes,5,0,91,7.1e-05
1,100,400,dfs,yes,7,0,6,8e-06
2,100,400,astar,yes,6,14,61,0.000493
2,100,400,bfs,yes,5,0,97,3e-05
2,100,400,dfs,yes,49,0,55,2.8e-05
3,100,400,astar,yes,3,11,27,0.000227
3,100,400,bfs,yes,3,0,47,1.2e-05
3,100,400,dfs,yes,45,0,46,2.5e-05
4,100,400,astar,yes,6,14,57,0.000406
4,100,400,bfs,yes,4,0,74,2.1e-05
4,100,400,dfs,yes,7,0,6,6e-06
5,100,400,astar,yes,3,7,7,3e-05
5,100,400,bfs,yes,3,0,43,1e-05
5,100,400,dfs,yes,8,0,8,1e-05
1,200,800,astar,yes,5,16,127,0.001452
1,200,800,bfs,yes,5,0,186,0.000107
1,200,800,dfs,yes,114,0,143,7.8e-05
2,200,800,astar,yes,4,10,21,0.000217
2,200,800,bfs,yes,4,0,117,2.7e-05
2,200,800,dfs,yes,70,0,79,4.3e-05
3,200,800,astar,yes,5,12,60,0.000844
3,200,800,bfs,yes,4,0,180,4.2e-05
3,200,800,dfs,yes,46,0,45,2.5e-05
4,200,800,astar,yes,6,17,92,0.001201
4,200,800,bfs,yes,4,0,140,3.1e-05
4,200,800,dfs,yes,25,0,24,1.6e-05
5,200,800,astar,yes,4,15,100,0.001107
5,200,800,bfs,yes,4,0,165,3.8e-05
5,200,800,dfs,yes,14,0,193,8.4e-05
