trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,39,333,333,22,0.040644
1,manhattan,yes,39,169,257,89,0.026088
1,euclidean,yes,39,303,324,30,0.097077
2,zero,yes,39,319,319,24,0.034577
2,manhattan,yes,39,180,249,76,0.025956
2,euclidean,yes,39,268,286,41,0.03046
3,zero,yes,39,316,316,22,0.03103
3,manhattan,yes,39,131,180,53,0.019657
3,euclidean,yes,39,273,287,36,0.029105
4,zero,yes,39,304,306,22,0.031391
4,manhattan,yes,39,168,224,58,0.02241
4,euclidean,yes,39,216,241,29,0.028661
5,zero,yes,39,305,305,23,0.028293
5,manhattan,yes,39,133,201,69,0.018783
5,euclidean,yes,39,274,288,34,0.029214
6,zero,yes,39,323,323,23,0.031796
6,manhattan,yes,39,113,157,45,0.014031
6,euclidean,yes,39,230,250,31,0.023538
7,zero,yes,39,311,312,24,0.030961
7,manhattan,yes,39,175,230,56,0.020948
7,euclidean,yes,39,257,277,31,0.027521
8,zero,yes,39,320,320,24,0.029448
8,manhattan,yes,39,143,191,53,0.01862
8,euclidean,yes,39,266,289,28,0.024388
9,zero,yes,39,320,320,23,0.029278
9,manhattan,yes,39,122,165,44,0.014716
9,euclidean,yes,39,268,292,33,0.027073
10,zero,yes,39,318,318,24,0.027595
10,manhattan,yes,39,238,299,70,0.023484
10,euclidean,yes,39,282,302,35,0.029463
