trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,399,32047,32047,205,3.380798
1,manhattan,yes,399,9753,12455,2703,3.238469
1,euclidean,yes,399,30560,30804,329,3.609035
1,aggressive,yes,465,627,1089,449,0.112355
2,zero,yes,399,31932,31932,215,3.331112
2,manhattan,yes,399,6479,8485,2016,1.877416
2,euclidean,yes,399,30590,30787,307,3.71645
2,aggressive,yes,471,658,1112,434,0.116251
3,zero,yes,399,31960,31960,202,3.324036
3,manhattan,yes,399,2911,3884,977,0.53918
3,euclidean,yes,399,30198,30446,315,3.534382
3,aggressive,yes,461,565,989,418,0.092421
4,zero,yes,399,31894,31896,210,3.351876
4,manhattan,yes,399,10210,12967,2762,3.434803
4,euclidean,yes,399,30085,30311,331,3.604397
4,aggressive,yes,447,498,929,427,0.091824
5,zero,yes,399,31913,31913,208,3.28047
5,manhattan,yes,399,2758,3662,905,0.478845
5,euclidean,yes,399,30390,30582,328,3.564285
5,aggressive,yes,453,541,953,408,0.093813
